v8-version,4,6,85,31,0
code-creation,Stub,12,0xe02c641fb60,173,"CompareICStub"
code-creation,Stub,2,0xe02c641fc20,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0xe02c641fca0,199,"CallConstructStub"
code-creation,Stub,11,0xe02c641fd80,332,"BinaryOpICStub"
code-creation,Stub,2,0xe02c641fee0,562,"FastNewContextStub"
code-creation,Handler,3,0xe02c6420120,244,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6420220,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0xe02c6420480,2674,"RecordWriteStub"
code-creation,Stub,11,0xe02c6420f00,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6420fe0,212,"BinaryOpICStub"
code-creation,Stub,2,0xe02c64210c0,574,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0xe02c6421300,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6421380,502,"ArrayNArgumentsConstructorStub"
code-creation,Stub,12,0xe02c6421580,187,"CompareICStub"
code-creation,Stub,11,0xe02c6421640,220,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6421720,450,"FastNewContextStub"
code-creation,Stub,2,0xe02c6421900,814,"FastNewContextStub"
code-creation,Handler,3,0xe02c6421c40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6421d20,212,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6421e00,113,"A call IC from the snapshot"
code-creation,Stub,2,0xe02c6421e80,534,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0xe02c64220a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6422120,566,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0xe02c6422360,654,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6422600,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0xe02c6422680,410,"FastNewContextStub"
code-creation,Stub,14,0xe02c6422820,228,"ToBooleanStub"
code-creation,Stub,11,0xe02c6422920,232,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6422a20,634,"A call IC from the snapshot"
tick,0x7f661772c7b5,20625,0,0x0,4
tick,0x7f6617abcbfa,20641,0,0x0,4
code-creation,Stub,11,0xe02c6422ca0,292,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6422de0,958,"StoreFastElementStub"
code-creation,Stub,11,0xe02c64231a0,462,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6423380,458,"BinaryOpICStub"
code-creation,Stub,12,0xe02c6423560,222,"CompareICStub"
code-creation,Stub,2,0xe02c6423640,662,"FastNewContextStub"
code-creation,Stub,2,0xe02c64238e0,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,11,0xe02c6423ae0,458,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6423cc0,360,"StoreFastElementStub"
code-creation,Stub,2,0xe02c6423e40,1834,"RecordWriteStub"
code-creation,Stub,2,0xe02c6424580,360,"StoreFastElementStub"
code-creation,Stub,11,0xe02c6424700,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64247e0,248,"BinaryOpICStub"
code-creation,Handler,3,0xe02c64248e0,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0xe02c6424960,113,"A call IC from the snapshot"
